
"""http://heasarc.gsfc.nasa.gov/db-perl/W3Browse/w3table.pl?tablehead=name%3Dneargalcat&Action=More+Options"""
Results from heasarc_neargalcat: Updated Nearby Galaxy Catalog
Coordinate system:  Equatorial
|name             |distance|abs_bmag|
|NGC3413          |   12.02|   -17.5|
|UGCA292          |    3.61|   -11.8|
|UGC01703         |    4.19|   -11.5|
|LV J1241+3251    |    7.30|   -13.0|
|Bol520           |    0.63|    -8.1|
|LV J1203+3257    |    7.55|   -12.8|
|And XIII         |    0.84|    -6.8|
|UGC05186         |    8.30|   -13.4|
|UGC04787         |   20.30|   -17.3|
|UGC03476         |    7.01|   -14.3|
|KKH78            |    4.70|   -10.7|
|KK152            |    6.90|   -13.0|
|NGC2683          |    7.73|   -20.4|
|And II           |    0.65|    -9.2|
|d0226+3325       |    9.30|   -12.7|
|DDO025           |    9.30|   -16.3|
|NGC4395          |    4.61|   -17.8|
|CVnI             |    0.22|    -7.9|
|KK70             |    7.70|   -11.9|
|NGC0925          |    9.29|   -19.9|
|MAPS1236+33      |   11.70|   -13.5|
|KKH18            |    4.43|   -12.4|
|LV J0926+3343    |   19.70|   -13.8|
|KK69             |    7.70|   -12.2|
|And XI           |    0.73|    -6.2|
|KK141            |    7.78|   -12.9|
|Halogas          |    9.30|   -12.2|
|CVnII            |    0.16|    -4.1|
|And XII          |    0.83|    -6.4|
|DDO143           |    9.10|   -13.9|
|DDO084           |    8.11|   -15.9|
|NGC4861          |    7.30|   -16.5|
|And XIX          |    0.93|    -8.3|
|UGC7427          |    9.70|   -14.1|
|KK230            |    2.14|    -9.2|
|And XX           |    0.80|    -5.8|
|NGC4534          |    9.80|   -16.9|
|KK166            |    4.74|   -10.8|
|NGC0404          |    3.05|   -16.5|
|UGC07605         |    4.43|   -13.5|
|UGC08833         |    3.08|   -12.2|
|UGC7257          |    8.80|   -15.5|
|DDO019           |    9.30|   -14.4|
|HS1053+3624      |    9.20|   -12.1|
|NGC4163          |    2.94|   -13.8|
|KDG090           |    2.86|   -11.5|
|VV747            |    9.20|   -14.4|
|NGC4214          |    2.94|   -17.2|
|LV J0954+3620    |   15.40|   -13.1|
|KUG 1033+366B    |    8.10|   -12.6|
|MCG +06-27-017   |    4.83|   -13.0|
|DDO147           |    5.40|   -13.6|
|LV J1052+3628    |    9.20|   -12.0|
|And III          |    0.75|    -9.3|
|UGC05983         |    9.20|   -13.9|
|NGC3432          |    9.20|   -19.0|
|NGC4190          |    2.82|   -13.9|
|LV J1052+3639    |    9.20|   -14.1|
|MRK0475          |    9.20|   -13.5|
|DDO126           |    4.88|   -14.4|
|DDO127           |    6.89|   -14.3|
|IC4182           |    4.70|   -16.4|
|UGC07699         |   14.50|   -18.0|
|NGC4244          |    4.49|   -18.2|
|CGCG 189-050     |    5.04|   -13.0|
|KDG105           |    7.60|   -12.8|
|BTS146           |    8.50|   -12.2|
|DDO183           |    3.22|   -13.2|
|And I            |    0.73|   -10.7|
|BTS142           |   10.00|   -11.6|
|And XV           |    0.76|    -8.7|
|KUG 1218+387     |    8.03|   -14.2|
|IC3687           |    4.57|   -14.6|
|DDO022           |    9.30|   -14.4|
|KKH98            |    2.45|   -10.8|
|And XXIII        |    0.73|    -9.5|
|Arp211           |    6.61|   -13.4|
|DDO099           |    2.64|   -13.5|
|KKH58            |   18.40|   -15.8|
|UGC7719          |    9.20|   -14.6|
|UGC03600         |    7.24|   -13.5|
|UGC04704         |   15.20|   -16.4|
|UGC12894         |    8.47|   -13.3|
|UGC03475         |   20.00|   -17.3|
|DDO182           |    8.90|   -14.1|
|UGC7678          |    6.90|   -14.8|
|UGC07774         |   22.60|   -17.9|
|DDO046           |    6.85|   -15.0|
|KK227            |   10.00|   -12.5|
|DDO024           |    9.80|   -16.5|
|CGCG 217-018     |    8.33|   -14.7|
|And IV           |    6.31|   -12.1|
|DDO181           |    3.01|   -13.2|
|NGC3104          |   16.00|   -17.2|
|DDO043           |    5.73|   -13.9|
|NGC7640          |    7.90|   -19.2|
|MESSIER032       |    0.49|   -14.8|
|UGC00064         |    9.60|   -14.8|
|DDO217           |    9.70|   -17.8|
|UGC7751          |    7.90|   -13.1|
|NGC4736          |    4.66|   -19.9|
|NGC4618          |    7.90|   -18.3|
|LV J1018+4109    |   11.10|   -11.9|
|KUG 1013+414     |   11.12|   -14.9|
|MESSIER031       |    0.77|   -21.4|
|NGC4625          |    7.90|   -16.5|
|UGC12588         |    7.90|   -16.1|
|NGC3184          |   11.12|   -20.0|
|LV J1243+4127    |    6.09|   -11.8|
|KK193            |    8.90|   -11.1|
|NGC4490          |    5.80|   -19.4|
|NGC0205          |    0.82|   -16.1|
|NGC4485          |    5.80|   -16.7|
|KKH82            |    8.06|   -13.2|
|DDO052           |   10.28|   -15.0|
|NGC5055          |    8.99|   -21.0|
|KK191            |    6.00|   -10.8|
|MAPS1231+42      |    5.80|   -11.1|
|KK149            |    8.90|   -14.9|
|NGC0891          |    9.77|   -20.5|
|And XXI          |    0.86|    -9.3|
|LV J1028+4240    |    7.55|   -12.0|
|UGC07690         |   11.20|   -17.3|
|KK151            |    6.56|   -13.4|
|And IX           |    0.79|    -8.1|
|DDO129           |    8.90|   -16.2|
|UGC02172         |    9.30|   -15.7|
|KK133            |    8.23|   -11.9|
|UGC00288         |    6.73|   -13.8|
|UGC07271         |   18.60|   -16.6|
|DDO125           |    2.74|   -14.3|
|KK160            |    4.31|   -10.9|
|KK109            |    4.51|   -10.3|
|LV J1228+4358    |    4.07|   -13.9|
|NGC5023          |    6.61|   -17.1|
|NGC4449          |    4.21|   -18.3|
|And XVII         |    0.74|    -7.0|
|MAPS1249+44      |    7.84|   -12.4|
